iteration,total_ns,layout_ns,raster_ns,backend_ns,probe_ns,convert_ns,upload_ns,commit_ns,upload_bytes
110,1534279,18070,371728,1079033,898,286174,326060,464577,38664
111,1123668,17215,290109,752294,743,273299,275302,201871,38664
112,1174639,19886,208633,876704,559,185462,226739,463019,38664
113,1058598,17340,235589,743793,581,248741,181346,312232,38664
114,950520,13632,180569,705360,402,219722,250569,233950,38664
115,808727,8620,149270,619256,219,197852,130452,290204,38664
116,626750,7517,139639,451826,199,209679,92560,148991,38664
117,600421,7699,137005,417053,192,198237,85368,132784,38664
118,876470,7955,141532,700724,181,269344,231029,199360,38664
119,2024914,23522,311404,1605211,968,379577,295104,928121,38664
120,1594279,22545,276101,1225611,1094,383869,429589,409703,38664
121,1100829,15171,237129,785818,651,359119,177564,247808,38664
122,1339273,13181,227095,1049010,11217,364382,231035,441708,38664
123,1060705,13532,229755,768540,1966,364049,166117,235835,38664
124,999326,12140,220019,722907,525,378698,147815,195267,38664
125,1121877,12460,216004,850529,316,375852,205658,268139,38664
126,1283406,12082,248613,977989,464,344978,256441,374988,38664
127,1402379,18530,301547,1009924,933,281224,268230,458359,38664
128,1389308,18222,301189,996627,897,298464,251714,444601,38664
129,1531584,15911,277730,1181639,567,274404,321002,584605,38664
130,1634202,24024,330477,1191623,938,432740,356828,399658,38664
131,1033710,18560,214082,725334,694,197940,219912,305729,38664
132,1426670,15925,268213,1086440,718,244382,524723,315406,38664
133,1045047,19089,200229,766871,502,266356,261007,238042,38664
134,1140327,11845,196584,888519,417,247452,298992,340809,38664
135,1235778,18007,310296,844101,763,271027,222514,348665,38664
136,1484008,23204,308675,1073253,675,331580,318480,421375,38664
137,937061,14355,186864,679843,547,216756,196951,264755,38664
138,749811,9539,141952,565940,280,196378,144616,224198,38664
139,942885,7898,172645,735518,200,201112,207284,325937,38664
140,1343110,24516,328113,904978,780,444399,193847,264808,38664
141,1228093,17219,278110,871459,384,431329,182666,256034,38664
142,1261450,15850,295853,891597,402,387456,143312,359518,38664
143,956828,17062,222025,642741,561,198807,190897,251661,38664
144,691500,9971,146130,499872,202,199251,111324,188728,38664
145,694970,7335,135696,525173,202,207158,117722,199742,38664
146,1101383,6622,162580,907336,193,208528,113398,584622,38664
147,1367651,18997,272317,1006909,543,417861,254182,333315,38664
148,1477127,14423,265478,1143017,491,390496,281379,469827,38664
149,1411035,21296,263104,1051327,618,435650,369080,244480,38664
150,1402301,18398,326175,989344,767,273995,441834,271782,38664
151,1285671,21335,292728,891112,564,374122,236739,278598,38664
152,1051371,14124,249443,733644,429,384757,139136,208638,38664
153,1313477,11919,222892,1032752,397,383111,272426,376119,38664
154,1091887,16403,277415,738310,747,248851,216591,271089,38664
155,1360777,20244,285997,971109,659,363071,231233,375019,38664
156,1256937,20808,289597,872146,604,381537,189694,299428,38664
157,987992,14584,224176,700519,329,373177,122856,203553,38664
158,1380635,11396,207858,1122950,334,353289,265415,503009,38664
159,1701017,18116,280710,1335226,723,247190,606875,479089,38664
160,1225590,20591,283021,857340,649,244122,289436,322352,38664
161,1082109,13768,214050,787042,609,244117,222639,319096,38664
162,1146699,12821,234980,850380,672,246861,236838,364742,38664
163,1347535,16273,257841,1010928,839,245866,315877,447233,38664
164,1230126,15492,243393,909306,699,266625,351333,289653,38664
165,3346486,15390,263362,3012010,681,244292,379021,2386880,38664
166,1265210,19059,282477,886756,625,260976,335829,288101,38664
167,1429017,20648,290172,1042331,543,436839,290315,313624,38664
168,1245699,14560,254170,924269,425,406706,264945,251648,38664
169,924294,12140,216476,654405,345,386313,105018,162171,38664
170,1066090,9902,211127,808362,260,390030,184111,233423,38664
171,1196454,10266,218391,931232,287,416081,211982,302284,38664
172,1293595,11154,240774,1001403,335,461881,261076,277461,38664
173,1101043,9550,216466,838920,354,423568,193929,220456,38664
174,943792,8825,216472,685121,326,430680,130474,122858,38664
175,1266143,16701,269570,915860,612,248582,316642,349241,38664
176,1026784,13628,219077,729810,633,246172,189402,292986,38664
177,921074,11193,202537,646895,430,244455,159685,241862,38664
178,1186077,10370,249070,885856,532,270447,271926,342433,38664
179,1168045,11306,225109,890053,495,265446,174292,448890,38664
180,1324943,15333,186896,1066647,486,197564,398294,469307,38664
181,1251322,15826,242344,937274,562,278311,296885,360403,38664
182,1589209,15972,289104,1223383,844,248732,309580,663146,38664
183,1064203,16056,204224,783870,720,198370,346582,237194,38664
184,792780,15328,185245,535814,462,210150,127849,196658,38664
185,710300,8078,132523,539406,182,194027,121534,223268,38664
186,854077,7004,124030,691884,174,176403,104272,410665,38664
187,983801,7088,294183,653333,599,212277,215312,224231,38664
188,912940,16186,201876,634515,574,196044,212710,224276,38664
189,768503,15584,200902,495970,469,196390,117822,180604,38664
190,772610,9624,178678,552212,304,207435,123867,220242,38664
191,1251062,9766,148616,1052010,208,195768,371466,483943,38664
192,1113113,16502,266866,770461,645,262515,240154,266254,38664
193,1182706,17284,287004,816582,695,273445,220020,321394,38664
194,1385395,18445,286475,984291,764,277024,299420,405955,38664
195,1703761,17005,276902,1346874,635,290417,238612,815616,38664
196,1492643,28091,321667,1064338,707,350236,279610,432568,38664
197,1359124,24073,315821,938205,616,335170,335083,266168,38664
198,1292536,17588,281468,863851,838,273936,251400,336440,38664
199,1276843,23440,306249,872418,547,362575,230300,278028,38664
200,1342156,15195,265549,1008380,440,406140,216847,383979,38664
201,1131134,13884,247496,820677,581,352964,173133,293145,38664
202,1481168,21339,291158,1097605,620,348630,339638,407497,38664
203,1307788,19920,260269,952609,699,397165,295635,258020,38664
204,845798,17742,235255,528044,484,224451,138121,164149,38664
205,784637,8690,134548,606129,273,189881,149959,265641,38664
206,785970,11422,146550,586505,282,179199,167702,238866,38664
207,797398,8745,137575,618055,345,186856,162593,267821,38664
208,929218,10401,202837,677124,483,361902,137982,176148,38664
209,1218408,13162,244699,908387,391,380282,258191,268874,38664
210,1248125,14992,269255,907266,403,394077,284665,227314,38664
211,751054,17166,192890,480254,447,196407,137469,145183,38664
212,555974,8522,133089,382939,174,176625,82647,123157,38664
213,1236753,6396,128646,1076195,288,207342,488646,379028,38664
214,1148567,18968,288287,770475,717,296660,183880,288493,38664
215,1128197,13079,228641,836645,571,304927,213664,316456,38664
216,1094747,21592,288531,704496,475,182387,252074,268614,38664
217,1154902,15797,261369,819972,651,272768,228901,317032,38664
218,1972071,12583,232349,1677027,671,291556,276057,1107828,38664
219,952209,16097,190434,688813,543,232171,224592,230728,38664
220,604427,8573,146859,416384,345,178073,103156,134402,38664
221,561087,7099,126672,401346,259,176530,102175,122042,38664
222,727479,6172,143142,555828,195,320948,119266,114756,38664
223,934925,17250,202013,651741,468,197322,218675,234533,38664
224,684991,9015,135041,508182,249,193944,136174,177463,38664
225,856368,7321,135080,686498,201,195855,289185,200885,38664
226,637801,6468,149516,458516,175,197983,114807,145219,38664
227,994235,6452,138465,826696,183,177243,140193,508376,38664
228,851205,6264,128892,691531,184,177050,181808,332151,38664
229,1281267,6408,193083,1059320,288,260158,333285,464708,38664
230,1139238,17721,297366,760390,770,248720,219742,290442,38664
231,1268424,11946,233652,977600,593,243877,208320,523946,38664
232,1219410,16199,263947,879996,750,250761,334623,292865,38664
233,1368003,16064,265744,1025779,710,249865,239517,534579,38664
234,1510431,15439,264403,1172746,752,246495,273712,650645,38664
235,1290583,15453,250398,966507,694,248202,365422,351288,38664
236,1259145,14780,240423,948720,581,252387,351401,343298,38664
237,1203018,16302,330048,794056,788,177930,206135,407870,38664
238,1211812,15639,242980,891142,574,246019,215371,428263,38664
239,1375575,15166,241892,1062327,596,246133,379153,435460,38664
240,1086663,15166,238889,770992,614,264050,236239,269505,38664
241,1021827,11364,213976,751978,457,244617,229192,277236,38664
242,998743,9702,216811,732807,426,243287,206448,282212,38664
243,1381366,9509,204968,1129372,417,245515,286774,595843,38664
244,1144252,14939,241030,832030,608,248566,251676,330438,38664
245,1093568,11871,209501,826573,484,249042,261204,315328,38664
246,965627,10606,199698,714914,421,243580,173806,296410,38664
247,1089761,12035,225503,805647,561,243622,260157,300812,38664
248,1190222,11920,210346,922931,685,273573,305202,342350,38664
