iteration,total_ns,layout_ns,raster_ns,backend_ns,probe_ns,convert_ns,upload_ns,commit_ns,upload_bytes
98,5561753,74459,3155052,1989349,4568,1133519,394062,454200,38664
99,5680348,91299,3753815,1456283,4676,766690,267461,414054,38664
100,6459880,97711,4305975,1652281,5558,894339,354297,393771,38664
101,6416476,87869,4467528,1487051,5706,918088,327769,231008,38664
102,7089979,97058,4779111,1725579,14023,1004588,296911,405237,38664
103,5317585,77337,3496306,1402795,6078,749587,368575,275539,38664
104,6482865,113070,4277650,1590063,5780,1021611,215704,342194,38664
105,5363131,82531,3415568,1525439,6346,947528,281107,287151,38664
106,5138978,103867,3406691,1240298,5184,807408,200315,224230,38664
107,4969335,68048,3223188,1377437,4371,872437,208888,289317,38664
108,5056283,57887,3284679,1438442,4309,863286,239138,328840,38664
109,6497221,61384,4005483,2113437,6540,1267046,369655,465677,38664
110,6632928,89090,4488290,1690499,5573,945077,332455,403219,38664
111,6068225,106882,4023828,1458118,5808,862323,235545,350470,38664
112,5114875,98838,3314265,1332898,4043,788161,243746,293693,38664
113,4861156,69604,3232314,1209171,4770,800094,197607,203912,38664
114,5616085,63019,3480301,1784487,24521,762980,341760,651795,38664
115,5039948,90138,3222587,1382344,7024,757856,298251,316729,38664
116,6188614,80366,4176247,1577535,4761,924090,257674,387383,38664
117,6255845,80461,4211017,1587136,5653,906249,336907,333967,38664
118,4936839,77400,3240707,1303571,4332,794997,255566,245828,38664
119,4719092,68703,3195063,1153748,4079,782456,155222,209829,38664
120,5126823,59792,3088555,1697032,3217,758537,279107,653345,38664
121,5932137,74980,4009410,1526479,5151,855145,273972,388692,38664
122,5118125,104619,3360939,1315102,5057,756263,227254,322839,38664
123,7155089,81901,4335122,2386651,6811,1315541,611848,447752,38664
124,6134038,77504,4206157,1504844,5236,881348,343372,271719,38664
125,5573814,79725,3505239,1664869,4573,860563,330393,466063,38664
126,5322342,82601,3373735,1528415,23820,760254,279893,461052,38664
127,6120705,82779,4023917,1661391,5540,869465,349167,433307,38664
128,8013066,88885,4571358,2944029,7790,914647,1520307,495974,38664
129,4864897,74329,2926762,1553863,4927,744336,374964,426838,38664
130,5132774,62819,3371537,1415365,4187,760648,462818,184983,38664
131,5162291,71656,3255027,1394819,5330,867172,283748,235524,38664
132,4376924,65060,2807269,1206050,4552,681813,273394,243983,38664
133,4430438,53717,2759079,1371536,3875,762844,225934,375162,38664
134,4349090,62983,2725215,1257829,4211,633368,301775,315663,38664
135,4496559,58428,2790207,1392010,5386,639878,361065,382163,38664
136,4520974,77153,2797491,1373109,3947,691017,240677,434826,38664
137,6021641,83489,4029202,1593872,5197,889909,313172,381989,38664
138,6585198,85362,4252460,1891439,5513,901670,445920,533734,38664
139,5607260,87085,3705981,1440251,5154,763057,361031,307895,38664
140,6221575,82526,4146045,1661628,5509,907980,280964,462703,38664
141,6400795,90286,4248111,1660813,5383,913606,307722,429745,38664
142,5722248,81575,3462780,1832075,6065,750188,422335,649571,38664
143,5669414,73803,3726091,1560079,4656,794829,265331,491445,38664
144,4859609,85255,3057942,1408624,4921,749190,274930,376289,38664
145,4503598,72517,3037752,1081866,4128,625493,225926,223742,38664
146,4019922,59356,2658236,1049206,3709,709911,149699,183564,38664
147,4324596,61439,2855231,1152065,4065,768812,176370,200090,38664
148,4712529,76233,3085715,1281338,3857,864120,200960,209482,38664
149,4804730,65949,3243799,1190046,4932,740783,225142,216078,38664
150,4009252,62056,2693688,974267,3328,624525,137509,206227,38664
151,6043147,71064,3916278,1717760,5286,932898,307384,467449,38664
152,6350108,82321,4130436,1800590,4265,911403,422848,458347,38664
153,5772076,116098,3764030,1548659,5085,955941,236921,347131,38664
154,6534928,82753,4384229,1705497,6585,896731,370277,427523,38664
155,6289253,90319,4102709,1695230,5425,895369,279842,511225,38664
156,6529278,81620,4369748,1739372,5463,920004,396445,413167,38664
157,6215668,92010,4168253,1571259,5265,891873,336100,334126,38664
158,6448161,83011,4257173,1774450,4354,964065,304953,497091,38664
159,5547142,76662,3421256,1707526,5116,922613,343096,433417,38664
160,6381769,89919,4272457,1657768,30044,904540,339698,379338,38664
